date,calories,distance,steps,lightly_active_minutes,moderately_active_minutes,very_active_minutes,sedentary_minutes,total_active_minutes,active_sedentary_ratio,energy_movement_kpi
2025-05-04,1425.6,0.0,0.0,0.0,0.0,0.0,1440.0,0.0,0.0,0.21216085292948952
2025-05-05,1813.57,398600.0,3869.0,138.0,2.0,12.0,1288.0,152.0,0.11801242236024845,0.5188751729229308
2025-05-06,1778.81,175551.0,1864.0,161.0,0.0,0.0,1279.0,161.0,0.12587959343236904,0.3794808423805691
2025-05-07,1828.6,401850.0,4352.0,169.0,5.0,8.0,1258.0,182.0,0.14467408585055644,0.5375328088621346
2025-05-08,1909.28,319459.0,3477.0,239.0,5.0,2.0,1194.0,246.0,0.20603015075376885,0.4956767686228128
2025-05-09,1828.03,409683.0,4852.0,192.0,0.0,0.0,1248.0,192.0,0.15384615384615385,0.5558553586298512
2025-05-10,1772.36,315404.0,3187.0,164.0,0.0,0.0,1276.0,164.0,0.12852664576802508,0.46477763059182625
2025-05-11,1731.65,291819.0,2959.0,131.0,7.0,6.0,1296.0,144.0,0.1111111111111111,0.4440168391906892
2025-05-12,1618.66,217230.0,2587.0,106.0,0.0,0.0,1334.0,106.0,0.07946026986506746,0.39183165011872595
2025-05-13,1803.16,277876.0,3047.0,134.0,17.0,3.0,1286.0,154.0,0.11975116640746501,0.4530691847175989
2025-05-14,1607.81,243977.0,2465.0,82.0,0.0,0.0,1358.0,82.0,0.060382916053019146,0.39475908556033223
2025-05-15,2039.19,562305.0,6394.0,216.0,34.0,12.0,1178.0,262.0,0.22241086587436332,0.6845433044176037
2025-05-16,1996.08,375257.0,4256.0,269.0,3.0,8.0,1160.0,280.0,0.2413793103448276,0.5510148365646172
2025-05-17,1925.71,479177.0,5509.0,199.0,18.0,6.0,1217.0,223.0,0.18323746918652423,0.6132408757386522
2025-05-18,1849.74,488953.0,5696.0,219.0,0.0,0.0,1221.0,219.0,0.17936117936117937,0.6109773337881288
2025-05-19,1528.8899999999999,65237.0,952.0,66.0,0.0,0.0,1374.0,66.0,0.048034934497816595,0.2784429746224315
2025-05-20,1758.43,164507.0,1840.0,156.0,11.0,1.0,1272.0,168.0,0.1320754716981132,0.3722015573848738
2025-05-21,1832.2,395046.0,4269.0,145.0,9.0,12.0,1274.0,166.0,0.130298273155416,0.5332780793754679
2025-05-22,1990.58,404538.0,4458.0,261.0,1.0,4.0,1174.0,266.0,0.22657580919931858,0.5658652392419997
2025-05-23,1833.0,466876.0,5146.0,201.0,4.0,6.0,1229.0,211.0,0.17168429617575265,0.5839948990520845
2025-05-24,1862.43,334794.0,4018.0,183.0,9.0,9.0,1239.0,201.0,0.162227602905569,0.5107835237041579
